Total Train Time (s),Test Actions Max,Exploration Returns Mean,Test Rewards Max,V Predictions Max,Log Pis Mean,Policy mu Max,Test Actions Mean,VF Loss,Policy log std Mean,Exploration Rewards Mean,Log Pis Std,Number of rollouts total,Exploration Rewards Std,Q Predictions Min,QF Loss,Test Returns Mean,Policy mu Std,Policy log std Std,Policy log std Max,Exploration Rewards Min,Test Returns Std,Q Predictions Std,Exploration Returns Max,Test Rewards Mean,Test Actions Min,Exploration Actions Min,Exploration Rewards Max,AverageReturn,Epoch,Policy mu Mean,Num Paths,Test Returns Max,Sample Time (s),Test Actions Std,Exploration Actions Max,Log Pis Max,Q Predictions Mean,Test Rewards Std,Epoch Time (s),Q Predictions Max,Policy mu Min,Policy Loss,Exploration Returns Min,Number of env steps total,V Predictions Mean,Log Pis Min,Test Returns Min,V Predictions Std,Exploration Returns Std,Number of train steps total,Train Time (s),V Predictions Min,Test Rewards Min,Policy log std Min,Exploration Actions Mean,Exploration Actions Std,(Previous) Eval Time (s)
26.434112401679158,0.0158507,5.58100558659,1.0,0.00259075,-0.689503,-0.00116758,0.0154591,0.516999,0.000774958,1.0,0.223326,179,0.0,-0.00654188,1.01116,14.3571428571,7.25351e-05,8.30711e-05,0.000847569,1.0,1.01468804898,0.00119198,16.0,1.0,0.0152686,-0.997965,1.0,14.3571428571,0,-0.00129269,179,16.0,1.4577708719298244,0.00015585,0.991599,-0.265887,-0.00401295,0.0,24.650805536657572,-0.00121981,-0.00154464,0.521125,3.0,1000,0.00196925,-0.919742,13.0,0.000346805,2.93655007842,873,23.193034664727747,0.00142992,1.0,0.00040991,-0.0383685,0.600053,0
55.277315135113895,0.0281783,5.74137931034,1.0,2.49339,-0.674593,0.0180488,0.0278451,0.00697394,-0.15553,1.0,0.0814426,353,0.0,1.44222,0.0697986,11.4204545455,0.000695172,0.0122812,-0.13772,1.0,0.558439198878,0.0573673,19.0,1.0,0.0276786,-0.990094,1.0,11.4204545455,1,0.0153367,174,13.0,1.1157169807702303,0.0001279,0.983116,-0.534681,1.60642,0.0,28.875770789571106,1.74058,0.0145401,0.00246954,3.0,2000,2.28913,-0.901197,11.0,0.068302,3.49331222215,1873,25.96701785363257,2.13556,1.0,-0.195138,-0.0148531,0.593778,1.7930359551683068
83.44554311502725,0.0679303,5.50828729282,1.0,3.41663,-0.704206,0.0286673,-0.0275226,0.0161253,-0.130439,1.0,0.117821,534,0.0,2.29912,0.535487,26.6052631579,0.000375175,0.0036207,-0.124961,1.0,1.4786101882,0.108785,19.0,1.0,-0.05902,-0.994412,1.0,26.6052631579,2,0.0276534,181,29.0,1.090549387037754,0.025967,0.996243,-0.474337,2.55317,0.0,28.184572556987405,2.83357,0.0268589,0.0361099,3.0,3000,3.22667,-1.21759,24.0,0.0714635,3.19982524476,2873,25.339851341210306,3.06516,1.0,-0.141302,0.031829,0.58088,1.754171828739345
112.14161444921046,0.102907,7.91338582677,1.0,5.0492,-0.655377,0.393148,-0.0349289,0.0925082,-0.174122,1.0,0.251575,661,0.0,0.820522,0.49123,25.2,0.194484,0.0167816,-0.139865,1.0,0.92736184955,0.800097,37.0,1.0,-0.170464,-0.986458,1.0,25.2,3,0.0403663,127,27.0,0.9525135792791843,0.0539303,0.992801,0.0504359,3.61104,0.0,28.768313364125788,4.3861,-0.309066,0.0215357,3.0,4000,4.26506,-1.51446,23.0,0.616613,6.28461892185,3873,26.077257992699742,2.46114,1.0,-0.22313,0.0199569,0.597877,1.7385417921468616
142.93638127110898,0.109116,13.5211267606,1.0,6.61549,-0.612152,0.804446,-0.0263457,0.062226,-0.237151,1.0,0.39838,732,0.0,0.258282,0.269684,39.1538461538,0.400523,0.0652656,-0.156749,1.0,1.91536916892,1.36578,65.0,1.0,-0.0746726,-0.986979,1.0,39.1538461538,4,0.0136074,71,43.0,1.086439911276102,0.0249006,0.9959,0.528912,4.70152,0.0,30.7431981805712,5.81191,-0.884444,0.00813294,3.0,5000,5.40812,-2.10526,36.0,1.15806,11.0960710658,4873,27.990789299830794,1.41922,1.0,-0.411097,0.00883394,0.598881,1.665968969464302
172.76238615158945,0.0897387,29.6857142857,1.0,7.55939,-0.470078,1.2363,-0.024704,0.12382,-0.350545,1.0,0.75616,767,0.0,0.147627,0.509041,61.7058823529,0.598536,0.127436,0.0507144,1.0,2.60688468308,2.01239,112.0,1.0,-0.0830984,-0.989495,1.0,61.7058823529,5,0.0294753,35,67.0,0.9000058146193624,0.0224948,0.982893,1.03505,5.28726,0.0,29.891273874789476,6.9267,-1.26684,-0.061123,3.0,6000,6.15066,-4.21301,58.0,1.86254,20.4013604989,5873,27.27137847431004,1.30387,1.0,-0.648954,-0.00541779,0.571422,1.7198895858600736
202.4090303760022,0.798527,48.0,1.0,8.54557,-0.332679,1.35983,0.0225435,0.120312,-0.458071,1.0,0.824245,787,0.0,0.519204,0.51199,78.3846153846,0.649437,0.154161,0.111154,1.0,2.8430336327,2.38455,115.0,1.0,-0.0621188,-0.98121,1.0,78.3846153846,6,-0.0471091,20,83.0,0.9073523553088307,0.0467632,0.984561,1.73801,6.47114,0.0,29.612205486744642,8.35171,-1.4317,-0.0621419,5.0,7000,7.23678,-3.77097,74.0,2.04552,26.9833281861,6873,27.052198444493115,1.05065,1.0,-0.741218,-0.00652979,0.559479,1.6526546869426966
232.4478474566713,0.0958949,63.2142857143,1.0,9.63726,-0.0999115,1.36673,-0.032677,0.168065,-0.584132,1.0,0.831625,801,0.0,0.665899,0.33699,65.75,0.723988,0.129213,0.00633031,1.0,1.63935963108,2.7355,117.0,1.0,-0.921725,-0.96176,1.0,65.75,7,-0.171255,14,68.0,0.8712671268731356,0.085317,0.98643,1.7572,7.52885,0.0,30.079192840494215,9.54217,-1.54904,-0.0181009,4.0,8000,8.50845,-3.03607,62.0,1.81693,28.4408623825,7873,27.520535077899694,1.20751,1.0,-0.790708,-0.0139224,0.538543,1.6873906357213855
263.1522327437997,0.0346779,87.3076923077,1.0,11.0554,-0.23526,1.62564,-0.023896,0.257355,-0.574873,1.0,0.783404,814,0.0,0.368173,0.396436,107.2,0.66675,0.132809,-0.00780455,1.0,6.28967407741,2.91963,216.0,1.0,-0.948637,-0.99111,1.0,107.2,8,0.103826,13,119.0,0.9092492880299687,0.10221,0.979076,1.73896,8.67397,0.0,30.701458364725113,10.6374,-1.43541,-0.101347,52.0,9000,9.84798,-4.45876,97.0,2.12569,44.3402658043,8873,28.145190034992993,1.23464,1.0,-0.791331,-0.00858668,0.554146,1.6470190417021513
293.9407244101167,0.0814887,79.3333333333,1.0,12.1888,-0.0920825,1.68617,-0.033235,0.171405,-0.595867,1.0,0.78907,826,0.0,0.356187,0.581751,86.4166666667,0.753266,0.135596,0.132578,1.0,1.97730175295,3.27046,254.0,1.0,-0.900385,-0.979456,1.0,86.4166666667,9,-0.0252852,12,89.0,0.8845257451757789,0.127989,0.982674,2.34907,9.67834,0.0,30.789971824735403,11.7792,-1.91686,0.0617022,27.0,10000,10.9265,-2.80648,82.0,2.35388,58.1009657598,9873,28.255366794764996,1.01566,1.0,-0.794167,-0.00455198,0.562011,1.6500792847946286
