Test Returns Min,Exploration Returns Std,Policy log std Min,Exploration Returns Max,Q Predictions Std,Epoch,Policy Loss,Exploration Actions Min,Q Predictions Min,V Predictions Mean,Exploration Rewards Max,Log Pis Max,Exploration Actions Std,Exploration Rewards Min,Sample Time (s),Q Predictions Mean,Test Returns Max,V Predictions Min,Train Time (s),Test Returns Std,Policy mu Mean,Exploration Rewards Std,VF Loss,Test Actions Mean,Num Paths,Exploration Actions Mean,Number of env steps total,Total Train Time (s),Policy log std Mean,Test Actions Std,Log Pis Std,Policy log std Max,Policy log std Std,Number of rollouts total,V Predictions Std,Log Pis Mean,(Previous) Eval Time (s),Epoch Time (s),Exploration Returns Min,Policy mu Min,Number of train steps total,AverageReturn,V Predictions Max,Policy mu Std,Log Pis Min,QF Loss,Test Rewards Max,Test Actions Max,Test Rewards Std,Test Rewards Min,Policy mu Max,Exploration Actions Max,Test Rewards Mean,Exploration Rewards Mean,Test Actions Min,Exploration Returns Mean,Test Returns Mean,Q Predictions Max
13.0,3.45476401101,0.0003922,20.0,0.00165959,0,0.506338,-0.989732,-0.00592139,0.00374102,1.0,-0.264412,0.593795,1.0,0.9696620013564825,-0.00183677,16.0,0.00264779,23.35387514717877,0.871875354397,-0.00148197,0.0,0.502591,-0.00860149,174,0.0111237,1000,25.942215838469565,0.00078531,0.00744165,0.227815,0.00117373,0.00016043,174,0.000514637,-0.67692,0,24.32353714853525,3.0,-0.0030933,873,14.1690140845,0.00462962,0.000794512,-1.12408,1.00979,1.0,0.00774722,0.0,1.0,7.18958e-06,0.992406,1.0,1.0,-0.0193638,5.72413793103,14.1690140845,0.000906457
32.0,4.45794405046,-0.129955,32.0,0.164965,1,0.0183161,-0.981479,1.18791,2.28989,1.0,-0.358414,0.58887,1.0,1.029107111506164,1.597,50.0,2.24358,27.387962467968464,4.88764291397,-0.0168005,0.0,0.0445761,0.0185367,148,-0.00673,2000,56.013156038708985,-0.108377,0.0187868,0.146207,-0.0951805,0.00944923,322,0.0193152,-0.687849,1.6215923624113202,30.038661941885948,3.0,-0.0980977,1873,39.2692307692,2.32871,0.0396934,-1.61338,0.0537438,1.0,0.071099,0.0,1.0,0.0438554,0.990904,1.0,1.0,-0.0207405,6.75675675676,39.2692307692,1.81391
27.0,5.87007900723,-0.192038,27.0,0.673905,2,-0.0229641,-0.983257,0.816834,3.21839,1.0,-0.0874112,0.602791,1.0,0.9487056685611606,2.511,31.0,1.67965,27.781334445811808,1.01379375505,0.0222873,0.0,0.0599688,0.0371007,113,-0.000561722,3000,86.34021699987352,-0.179221,0.0384862,0.22672,-0.175525,0.00285553,435,0.556132,-0.645282,1.6544402688741684,30.384480383247137,3.0,-0.32281,2873,28.1666666667,3.70617,0.171172,-1.65555,0.07899,1.0,0.118872,0.0,1.0,0.308608,0.996342,1.0,1.0,-0.0392813,8.85840707965,28.1666666667,2.95546
43.0,10.1924547438,-0.33254,46.0,1.12272,3,0.00569414,-0.991354,0.832819,4.08886,1.0,0.268554,0.593058,1.0,0.9157304540276527,3.43146,49.0,1.55105,28.63958614412695,1.47499824905,-0.0464408,0.0,0.0884575,0.0302875,71,-0.00170613,4000,117.81524214800447,-0.172562,0.0261488,0.355856,-0.0665139,0.0532775,506,0.947215,-0.611575,1.5984483985230327,31.153764996677637,3.0,-0.814738,3873,45.7727272727,4.79365,0.326115,-1.8091,0.19065,1.0,0.0841151,0.0,1.0,0.717495,0.995382,1.0,1.0,-0.0681445,13.7323943662,45.7727272727,4.24746
61.0,14.9771692644,-0.545212,70.0,1.49163,4,-0.0735018,-0.995013,0.731035,5.24482,1.0,1.19761,0.589369,1.0,0.9143768325448036,4.33116,70.0,1.74886,28.560731208883226,2.4677608778,-0.0765763,0.0,0.127434,0.0272038,44,-0.00958543,5000,148.93671410996467,-0.316077,0.0232899,0.553352,0.0162774,0.105039,550,1.27049,-0.36529,1.918380125425756,31.393488166853786,3.0,-1.17423,4873,65.6875,6.18982,0.515037,-1.91609,0.320465,1.0,0.0887885,0.0,1.0,1.03662,0.987594,1.0,1.0,-0.0652107,23.1590909091,65.6875,5.56221
86.0,25.9550230811,-0.676284,113.0,1.87892,5,-0.00747105,-0.99171,0.751039,6.48945,1.0,1.52293,0.573812,1.0,0.9558622734621167,5.33916,112.0,1.64484,31.060014981776476,8.49890610365,-0.0132796,0.0,0.185706,0.0216715,22,0.0108526,6000,182.5825289702043,-0.399306,0.0682684,0.715827,0.0323354,0.117208,572,1.35029,-0.263997,1.6482395539060235,33.664116809144616,6.0,-1.4986,5873,94.3636363636,7.53032,0.683361,-2.42526,0.52821,1.0,0.887133,0.0,1.0,1.30796,0.994109,1.0,1.0,-0.0270361,45.8636363636,94.3636363636,6.87966
95.0,23.7070772177,-0.759392,122.0,2.14343,6,-0.0933595,-0.984503,0.464467,7.51183,1.0,1.49515,0.562967,1.0,0.8612811481580138,6.40491,141.0,1.52251,32.456281868740916,12.2233383329,0.0350428,0.0,0.263633,0.0202168,14,0.00536991,7000,217.56508076004684,-0.484851,0.0824669,0.615397,0.0845556,0.145319,586,1.57102,-0.279266,1.6282275142148137,34.945790531113744,27.0,-1.23744,6873,108.3,8.7889,0.607284,-2.54497,0.203196,1.0,0.90399,0.0,1.0,1.19696,0.987641,1.0,1.0,-0.030445,70.2142857143,108.3,8.25649
68.0,26.9293731033,-0.998325,127.0,2.256,7,0.0650001,-0.990017,0.818041,8.75155,1.0,2.37404,0.55134,1.0,0.9231878351420164,7.87186,76.0,1.8064,32.15450236480683,2.23507394857,0.0456975,0.0,0.208187,0.0358684,19,0.00835553,8000,252.44679250009358,-0.541832,0.113724,0.855478,0.00540782,0.148917,605,1.56341,-0.31345,1.6656614216044545,34.7433516215533,11.0,-1.71865,7873,71.2666666667,9.70786,0.661675,-4.67877,0.278028,1.0,0.917942,0.0,1.0,1.35577,0.984588,1.0,1.0,-0.0232612,50.4210526316,71.2666666667,9.48194
74.0,29.9446505868,-0.815913,125.0,2.55505,8,0.0586577,-0.992949,0.375464,10.1171,1.0,2.21809,0.559514,1.0,0.8906937325373292,8.89502,81.0,1.77319,31.08945949561894,1.88736063791,-0.0549029,0.0,0.216968,0.0361268,18,0.015774,9000,286.0048444317654,-0.55478,0.133533,0.726412,-0.107212,0.134676,623,1.47682,-0.319214,1.8065548790618777,33.786708107218146,11.0,-1.63845,8873,78.2307692308,11.4183,0.599315,-2.71244,0.336905,1.0,0.938839,0.0,1.0,1.48528,0.994034,1.0,1.0,-0.0488864,56.6111111111,78.2307692308,10.7421
216.0,57.7508183907,-0.934206,264.0,2.62673,9,0.087363,-0.981613,0.777526,10.5827,1.0,1.45505,0.559166,1.0,0.9291107505559921,10.1907,507.0,0.433333,31.887109238654375,114.650283471,0.0164421,0.0,0.494661,-0.0129823,11,-0.00518101,10000,320.4991893740371,-0.585159,0.102244,0.763216,-0.207804,0.129076,634,2.17226,-0.361597,1.575355843640864,34.39157583285123,49.0,-1.62419,9873,311.75,12.1881,0.656195,-2.56239,0.368073,1.0,0.847637,0.0,1.0,1.50724,0.987315,1.0,1.0,-0.883824,88.5454545455,311.75,12.0789
