Exploration Rewards Std,Policy mu Std,AverageReturn,Test Rewards Std,Test Returns Mean,Policy mu Min,Policy log std Mean,Exploration Returns Mean,Q Predictions Mean,Test Returns Std,Policy log std Max,Epoch Time (s),Total Train Time (s),QF Loss,Exploration Returns Max,V Predictions Mean,Number of env steps total,Log Pis Min,VF Loss,Test Actions Mean,Policy mu Mean,Number of rollouts total,Exploration Rewards Min,Log Pis Std,Policy log std Std,V Predictions Min,Policy log std Min,Sample Time (s),Q Predictions Max,Exploration Returns Min,Number of train steps total,Test Actions Min,Q Predictions Std,V Predictions Std,Exploration Rewards Mean,Exploration Rewards Max,Num Paths,Log Pis Mean,V Predictions Max,Policy mu Max,Test Actions Std,Test Returns Max,Exploration Actions Std,Exploration Actions Min,Exploration Returns Std,Exploration Actions Max,Policy Loss,Train Time (s),Test Actions Max,Test Rewards Min,Test Rewards Mean,Epoch,Log Pis Max,(Previous) Eval Time (s),Exploration Actions Mean,Q Predictions Min,Test Rewards Max,Test Returns Min
0.0,9.91399e-05,6.95138888889,0.0,6.95138888889,-0.000101056,-0.00150484,5.56983240223,0.00180218,0.215053646767,-0.00126798,28.98526184540242,29.5042343698442,0.99834,22.0,0.00113012,1000,-0.917517,0.497614,0.101314,0.000163856,179,1.0,0.212846,8.24358e-05,0.000723902,-0.00160076,0.5192197216674685,0.00310585,3.0,3492,0.100905,0.000628441,0.000193941,1.0,1.0,179,-0.671883,0.00181931,0.000321805,0.000193278,7.0,0.594147,-0.99443,3.24241882862,0.996149,0.497171,28.46604212373495,0.101658,1.0,1.0,0,-0.271018,0,-0.00443921,0.000535287,1.0,6.0
0.0,0.000879354,14.0833333333,0.0,14.0833333333,0.0992705,-0.147082,5.62359550562,8.23647,1.02401714395,-0.144508,32.51210220530629,62.062987737357616,11.7498,29.0,8.93789,2000,-1.33123,0.0158008,-0.014288,0.101543,357,1.0,0.149638,0.000936472,8.09601,-0.149294,0.533067811280489,9.07176,3.0,7492,-0.0144834,0.317419,0.293693,1.0,1.0,178,-0.684397,9.72534,0.103622,0.000147054,16.0,0.586579,-0.983226,3.53933030141,0.989532,-0.000114896,31.45736553426832,-0.0139542,1.0,1.0,1,-0.371155,0.521668859757483,0.0226521,7.21525,1.0,13.0
0.0,0.000412277,12.4938271605,0.0,12.4938271605,-0.0147934,-0.13928,6.16666666667,8.26223,0.722195842084,-0.136387,32.21480619907379,94.2154401820153,10.5229,27.0,9.01768,3000,-2.07372,0.027132,-0.0205164,-0.0141007,519,1.0,0.152904,0.00088175,8.31043,-0.141443,0.529187511652708,9.13871,3.0,11492,-0.0216172,0.235325,0.227933,1.0,1.0,162,-0.682062,9.88437,-0.0129528,0.000711382,14.0,0.575894,-0.993374,3.75524324803,0.99895,-0.0260187,31.116939052939415,-0.019298,1.0,1.0,2,-0.513579,0.5686796344816685,-0.00617306,7.52942,1.0,11.0
0.0,0.00274236,13.1688311688,0.0,13.1688311688,-0.0269381,-0.140731,5.49162011173,8.66769,0.903134475362,-0.135595,34.00592225510627,128.2499590497464,11.6629,25.0,9.39272,4000,-0.906824,0.0106675,-0.0179333,-0.0219625,698,1.0,0.0925147,0.00436285,8.5957,-0.151462,0.5439364667981863,9.55474,3.0,15492,-0.0181684,0.300448,0.302706,1.0,1.0,179,-0.667118,10.2684,-0.0180469,0.00010823,15.0,0.582816,-0.996939,3.06788867964,0.994242,-0.0294232,32.955705157481134,-0.0176965,1.0,1.0,3,-0.500034,0.5062806308269501,0.00299846,7.87214,1.0,12.0
0.0,0.00155249,11.5172413793,0.0,11.5172413793,-0.0191942,-0.134999,5.74576271186,8.50426,0.564507087715,-0.126867,35.63422152493149,163.86172202322632,13.2962,21.0,9.24827,5000,-0.851915,0.0142837,-0.0262286,-0.0169101,875,1.0,0.0881177,0.00412209,8.28856,-0.148593,0.5441229464486241,9.58549,3.0,19492,-0.0268591,0.438417,0.417948,1.0,1.0,177,-0.674771,10.2379,-0.0108833,0.000344845,13.0,0.576778,-0.997339,3.2931698895,0.993832,-0.0425163,34.554663247428834,-0.025494,1.0,1.0,4,-0.510155,0.5354353310540318,-0.00212918,7.41339,1.0,11.0
0.0,0.0036168,14.6231884058,0.0,14.6231884058,-0.0391487,-0.130206,5.49450549451,8.42121,1.11772866578,-0.122699,35.38577331509441,199.24195464048535,9.3857,19.0,8.97446,6000,-1.21241,0.0324803,0.0155063,-0.0276446,1057,1.0,0.112517,0.00424968,8.60489,-0.143435,0.5293889874592423,8.91776,3.0,23492,0.0152516,0.154029,0.153735,1.0,1.0,182,-0.692919,9.48006,-0.0231101,0.000126465,16.0,0.58986,-0.993373,3.09687409351,0.986362,0.111321,34.34359992668033,0.0158433,1.0,1.0,5,-0.478604,0.5127844009548426,-0.0112623,8.04754,1.0,13.0
0.0,0.00110459,18.7777777778,0.0,18.7777777778,0.0146416,-0.134682,5.13333333333,8.74825,2.61524495465,-0.132197,35.98681517876685,235.22067369893193,12.4128,18.0,9.58377,7000,-1.06673,0.0342423,0.00825346,0.0162619,1252,1.0,0.0999089,0.00231708,9.01785,-0.142326,0.5268109329044819,9.27438,3.0,27492,0.0078762,0.193332,0.196526,1.0,1.0,195,-0.68834,10.104,0.0204663,0.000378716,24.0,0.595385,-0.99667,2.76473519234,0.991785,-0.0985493,34.95253279898316,0.00953519,1.0,1.0,6,-0.502122,0.5074714468792081,0.00519914,8.22942,1.0,15.0
0.0,0.00170993,8.7652173913,0.0,8.7652173913,0.00620965,-0.124498,5.94610778443,8.30032,0.423862873285,-0.115775,36.6120466357097,271.91425278410316,15.6801,19.0,8.98087,8000,-1.7985,0.0197137,0.0543028,0.00831893,1419,1.0,0.138486,0.00441968,8.81154,-0.130103,0.5324323466047645,8.47537,2.0,31492,0.0537941,0.0490927,0.0472438,1.0,1.0,167,-0.681198,9.18262,0.015698,0.000462114,9.0,0.579255,-0.994455,3.2670693803,0.983218,0.0195775,35.58013355452567,0.0557144,1.0,1.0,7,-0.502968,0.4994807345792651,0.0153849,8.13907,1.0,8.0
0.0,0.00152209,16.4032258065,0.0,16.4032258065,0.0534851,-0.140052,5.56906077348,8.45661,1.44199321527,-0.137976,37.08529243897647,308.92593487072736,8.47594,21.0,9.04754,9000,-0.804034,0.0176602,-0.00865802,0.0552378,1600,1.0,0.0993949,0.00135387,8.64147,-0.149028,0.5332197044044733,8.82522,3.0,35492,-0.00961876,0.137587,0.129019,1.0,1.0,181,-0.683676,9.43798,0.0648898,0.000650371,19.0,0.598191,-0.991022,3.29270643885,0.997313,0.0708034,35.970841952599585,-0.00750144,1.0,1.0,8,-0.439049,0.5812307819724083,0.00208082,8.15074,1.0,14.0
0.0,0.00151755,16.5573770492,0.0,16.5573770492,-0.0156092,-0.135579,5.89349112426,8.36287,1.78816317666,-0.134598,36.57791278604418,345.48398234695196,11.2657,22.0,9.13415,10000,-1.05447,0.0200995,-0.00927524,-0.0101396,1769,1.0,0.0984274,0.000974011,8.76233,-0.138918,0.523491732776165,8.61161,3.0,39492,-0.0110984,0.100345,0.0732972,1.0,1.0,169,-0.677786,9.30941,-0.0077689,0.000668724,21.0,0.588508,-0.996211,3.59987083943,0.990427,-0.0525836,35.54637465067208,-0.00837878,1.0,1.0,9,-0.515225,0.5080464025959373,0.00754167,7.89162,1.0,14.0
