Policy mu Mean,Test Returns Mean,Exploration Actions Std,Test Rewards Max,Train Time (s),Number of train steps total,Test Rewards Std,Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Exploration Rewards Mean,Policy log std Mean,Number of env steps total,Total Train Time (s),Log Pis Max,Policy mu Std,Exploration Actions Min,Epoch Time (s),Log Pis Min,Q Predictions Min,Number of rollouts total,VF Loss,Sample Time (s),V Predictions Mean,Exploration Returns Min,Policy mu Min,Exploration Actions Mean,Policy log std Min,Test Returns Min,Log Pis Mean,Test Returns Max,Q Predictions Max,Test Actions Std,Exploration Actions Max,Exploration Rewards Min,V Predictions Std,Exploration Returns Max,Q Predictions Mean,Policy Loss,QF Loss,Exploration Returns Std,Test Rewards Min,Test Rewards Mean,V Predictions Min,Log Pis Std,Test Actions Mean,Num Paths,Test Actions Max,Exploration Rewards Std,V Predictions Max,(Previous) Eval Time (s),Epoch,Test Returns Std,Policy mu Max,Policy log std Max,Policy log std Std,Test Actions Min,Q Predictions Std
0.00113165,9.41121495327,0.598519,1.0,14.688985525630414,873,0.0,5.64406779661,9.41121495327,1.0,1.0,0.000869512,1000,16.310178834944963,-0.261884,6.90675e-05,-0.993934,15.289067547768354,-0.919889,1.15107e-05,177,0.50128,0.6000820221379399,0.00633761,3.0,0.00100905,-0.00222706,0.000696935,9.0,-0.679564,10.0,0.00468567,8.62084e-05,0.977377,1.0,0.00121901,17.0,0.00131243,0.504649,1.00761,3.01837711398,1.0,1.0,0.00484929,0.215041,-0.0460958,177,-0.0458218,0.0,0.0086792,0,0,0.492054077798,0.00129537,0.00102859,0.000100221,-0.0462732,0.00110879
-0.0461256,9.16363636364,0.595047,1.0,15.138533415272832,1873,0.0,5.88823529412,9.16363636364,1.0,1.0,-0.125617,2000,33.00556613970548,-0.435283,0.000594334,-0.991052,16.790079657919705,-1.00688,5.93195,347,0.0307179,0.6274136379361153,7.13336,3.0,-0.0473127,0.0184755,-0.135695,8.0,-0.679106,10.0,7.18266,0.000785341,0.993933,1.0,0.252107,21.0,6.58721,0.101133,6.20082,3.42213939843,1.0,1.0,6.53856,0.112461,0.0510487,170,0.0525956,0.0,7.6548,1.0241326047107577,1,0.393752869595,-0.0445119,-0.116385,0.00442737,0.0499082,0.284934
0.0507271,20.4693877551,0.581373,1.0,15.029568186029792,2873,0.0,6.36942675159,20.4693877551,1.0,1.0,-0.121292,3000,49.625815669074655,-0.424372,0.00257522,-0.992385,16.593876965343952,-1.69945,7.67638,504,0.0719597,0.6351606920361519,9.09748,2.0,0.0481761,-0.0355221,-0.140964,16.0,-0.68996,43.0,8.69052,8.6717e-05,0.9884,1.0,0.208249,25.0,8.17711,-0.133456,9.86443,3.76251478479,1.0,1.0,8.49704,0.158188,-0.00422322,157,-0.00400024,0.0,9.64965,0.9291480872780085,2,4.76424626592,0.0601383,-0.115118,0.0054046,-0.00432932,0.21274
-0.00418749,6.1717791411,0.580245,1.0,15.948699858039618,3873,0.0,5.8023255814,6.1717791411,1.0,1.0,-0.118858,4000,67.28265231661499,-0.500301,0.000468249,-0.989525,17.549783986993134,-1.5272,8.0644,676,0.0370483,0.6453722361475229,9.65397,3.0,-0.00492856,0.00150026,-0.134012,6.0,-0.682477,7.0,9.61506,0.000437426,0.997836,1.0,0.357791,20.0,8.83856,-0.0721648,12.3184,3.32124860046,1.0,1.0,8.92641,0.126716,0.11475,172,0.115395,0.0,10.5162,0.9557118928059936,3,0.377188371753,-0.00310958,-0.107362,0.00631372,0.113523,0.34692
0.115855,11.8823529412,0.588014,1.0,13.24029132630676,4873,0.0,5.50549450549,11.8823529412,1.0,1.0,-0.14288,5000,82.19298925250769,-0.340438,0.00201319,-0.995144,14.926177322864532,-1.15448,7.76397,858,0.00974199,0.623073248192668,9.39634,3.0,0.110079,-0.0234883,-0.148259,11.0,-0.663013,13.0,9.67579,0.000276973,0.992492,1.0,0.333754,18.0,8.7127,0.0121302,11.5784,2.98300544062,1.0,1.0,8.54809,0.157036,0.0253461,182,0.0256962,0.0,10.2592,1.0628127483651042,4,0.726178793506,0.125378,-0.13408,0.00206517,0.024638,0.35284
0.0260409,10.2551020408,0.58581,1.0,14.472137194126844,5873,0.0,5.99397590361,10.2551020408,1.0,1.0,-0.119474,6000,98.32255526445806,-0.46554,0.00118907,-0.979999,16.15225333534181,-1.02955,7.93904,1024,0.010081,0.6329631032422185,9.51766,3.0,0.0238041,0.040972,-0.122728,9.0,-0.704089,11.0,9.77136,0.00048266,0.988406,1.0,0.389108,27.0,8.82816,0.0164885,12.6005,3.45277431311,1.0,1.0,8.57422,0.0989375,-0.0362833,166,-0.0353816,0.0,10.4277,1.0471530379727483,5,0.501247922074,0.0289211,-0.114906,0.00184396,-0.0370233,0.388858
-0.0371959,17.5964912281,0.592401,1.0,15.699737863615155,6873,0.0,5.58333333333,17.5964912281,1.0,1.0,-0.141538,7000,115.68751238565892,-0.474925,0.00239852,-0.992833,17.391271826811135,-1.17131,7.67423,1204,0.0191582,0.6612128177657723,9.58729,3.0,-0.0426731,0.0249083,-0.148388,15.0,-0.686514,23.0,9.71591,0.000262747,0.991859,1.0,0.277236,16.0,8.80246,-0.0525851,12.0959,2.64548882272,1.0,1.0,8.53651,0.108983,-0.00686265,180,-0.00612527,0.0,10.4602,1.0303211454302073,6,2.30833462504,-0.0323104,-0.139227,0.00166032,-0.00721062,0.284545
-0.00669909,11.9880952381,0.580353,1.0,14.657900981605053,7873,0.0,5.42391304348,11.9880952381,1.0,1.0,-0.132413,8000,132.01660212967545,-0.516442,0.00113241,-0.997268,16.27101601101458,-1.61352,7.95059,1388,0.0291922,0.6142429756000638,9.245,2.0,-0.00819219,-8.2877e-05,-0.136434,11.0,-0.684992,13.0,9.33599,0.00035386,0.989687,1.0,0.236311,17.0,8.66608,0.0894239,10.5864,2.76913773918,1.0,1.0,8.52485,0.131262,0.025043,184,0.02564,0.0,9.88546,0.998872053809464,7,0.747918502357,-0.00327597,-0.130171,0.00112972,0.0244074,0.236297
0.0257714,14.4857142857,0.582351,1.0,13.857049350626767,8873,0.0,5.82558139535,14.4857142857,1.0,1.0,-0.133379,9000,147.4966888949275,-0.47296,0.00131975,-0.996118,15.540376394055784,-1.35091,7.99215,1560,0.0213808,0.626370856538415,9.48457,3.0,0.022228,0.0127478,-0.150142,13.0,-0.685041,16.0,9.41642,3.75779e-05,0.996957,1.0,0.308761,22.0,8.71061,-0.0480371,13.6852,3.57378003405,1.0,1.0,8.72396,0.11429,-0.0139271,172,-0.0138467,0.0,10.2069,1.0569561868906021,8,1.10509026319,0.0279507,-0.126543,0.00437381,-0.0140134,0.300833
-0.0138222,16.3064516129,0.586307,1.0,15.013372985646129,9873,0.0,5.65340909091,16.3064516129,1.0,1.0,-0.122072,10000,164.13774187490344,-0.490578,0.000448569,-0.992974,16.62940731458366,-0.796621,8.12285,1736,0.0271178,0.6192168081179261,9.4084,3.0,-0.0146437,-0.0220704,-0.122996,14.0,-0.678543,20.0,9.1477,0.000271717,0.991295,1.0,0.204145,20.0,8.6019,-0.0751011,13.3528,3.21029766616,1.0,1.0,8.90687,0.101853,-0.00916994,176,-0.00838599,0.0,10.0184,0.9968175208196044,9,1.50899143499,-0.012675,-0.119975,0.000642503,-0.00952225,0.208427
