Q Predictions Max,Test Returns Mean,Exploration Rewards Max,Epoch Time (s),Policy mu Min,Log Pis Min,Number of rollouts total,Q Predictions Mean,V Predictions Std,Test Rewards Std,Exploration Returns Min,Epoch,Q Predictions Min,Log Pis Std,Test Actions Std,Train Time (s),Test Returns Min,Exploration Returns Mean,VF Loss,Policy log std Std,V Predictions Max,Exploration Returns Max,Test Returns Std,Test Actions Mean,AverageReturn,Number of train steps total,Test Returns Max,V Predictions Mean,Policy log std Max,Q Predictions Std,Exploration Returns Std,Policy mu Mean,Exploration Rewards Std,Test Actions Max,Num Paths,Policy Loss,Policy mu Std,Exploration Rewards Mean,Policy mu Max,Policy log std Min,Number of env steps total,Exploration Actions Mean,Log Pis Max,Exploration Actions Min,(Previous) Eval Time (s),Total Train Time (s),Exploration Actions Max,Test Rewards Mean,Policy log std Mean,Test Rewards Max,Sample Time (s),Test Actions Min,Exploration Actions Std,Test Rewards Min,V Predictions Min,QF Loss,Exploration Rewards Min,Log Pis Mean
0.00477872,4.0,20.0,8.835305876098573,-0.000616901,-0.919709,257,0.00180951,0.000407908,0.0,40.0,0,-0.00218498,0.227524,0.00824506,8.304538985714316,4.0,77.6653696498,0.483206,0.000159783,-0.00270281,200.0,0.0,0.290885,4.0,873,4.0,-0.00352256,0.00114998,0.00184446,32.830138343,2.08787e-05,0.0,0.304525,257,0.479729,0.000301621,20.0,0.000505651,0.000531363,1000,0.0556875,-0.263964,-0.997702,0,9.842655542306602,0.993409,1.0,0.000740384,1.0,0.5307668903842568,0.281748,0.696102,1.0,-0.00405518,399.818,20.0,-0.65155
70.635,4.0,20.0,10.389143292792141,0.279991,-1.8433,472,67.7603,0.937099,0.0,60.0,1,64.7091,0.400694,0.00574738,8.838153820484877,4.0,92.9302325581,0.212293,0.0247459,71.4308,280.0,0.0,0.398522,4.0,1873,4.0,68.2119,-0.0584067,0.803773,42.2866163603,0.325772,0.0,0.408209,215,0.241546,0.0433775,20.0,0.466504,-0.159207,2000,-0.121458,0.453035,-0.991063,1.0097586149349809,20.134006061591208,0.99398,1.0,-0.114858,1.0,0.5412308573722839,0.392423,0.599677,1.0,64.3941,764.656,20.0,-0.644442
92.4091,6.0,20.0,10.401402961462736,0.407217,-1.93174,669,82.8799,3.84095,0.0,40.0,2,74.5982,0.491969,0.00498442,8.965989157557487,6.0,101.725888325,0.203268,0.00787742,93.4466,500.0,0.0,-0.124657,6.0,2873,6.0,83.8336,-0.143242,3.70501,67.0711871979,0.422557,0.0,-0.116433,197,-0.109925,0.0113661,20.0,0.468966,-0.17826,3000,-0.0102284,0.184231,-0.990556,0.9119616793468595,30.507893468253314,0.999242,1.0,-0.159983,1.0,0.5234521245583892,-0.132033,0.604015,1.0,75.3667,1150.74,20.0,-0.573564
97.4158,3.0,20.0,9.31952428072691,-0.14132,-1.15405,874,89.7583,3.3517,0.0,60.0,3,81.426,0.1692,0.00152526,7.912393054924905,3.0,97.3658536585,0.462539,0.0022422,98.9216,460.0,0.0,-0.473431,3.0,3873,3.0,90.6967,-0.133063,3.11297,56.4899110775,-0.128642,0.0,-0.471087,205,-0.137933,0.0077591,20.0,-0.107972,-0.14175,4000,0.0481081,-0.301353,-0.990429,0.8847971800714731,39.886217683553696,0.993476,1.0,-0.138393,1.0,0.5223340457305312,-0.475988,0.612925,1.0,81.9057,1105.95,20.0,-0.669857
99.534,3.0,20.0,9.580494606867433,-0.553545,-1.78487,1056,92.1269,3.11406,0.0,60.0,4,83.6917,0.547448,0.011562,8.094146481715143,3.0,110.0,0.0502176,0.00487309,100.397,380.0,0.0,-0.476817,3.0,4873,3.0,93.0375,-0.171029,3.16422,57.9787759576,-0.509083,0.0,-0.461343,182,-0.00557411,0.0126714,20.0,-0.484611,-0.199376,5000,-0.0162764,0.335696,-0.990033,0.9437942104414105,49.474964492954314,0.99557,1.0,-0.181036,1.0,0.5425539147108793,-0.491348,0.586178,1.0,85.2173,1264.07,20.0,-0.56805
97.8304,3.0,20.0,9.477359970100224,-0.706459,-2.32728,1264,92.1815,2.70575,0.0,60.0,5,86.0598,0.638147,0.0248931,7.994358358904719,3.0,96.1538461538,0.05507,0.00774503,99.7182,440.0,0.0,-0.675725,3.0,5873,3.0,93.0151,-0.182273,2.4631,54.6018401407,-0.552254,0.0,-0.655055,208,0.0814819,0.041098,20.0,-0.498561,-0.220489,6000,-0.0199543,0.548277,-0.996241,0.9525900445878506,58.92936996836215,0.991079,1.0,-0.189189,1.0,0.5304115666076541,-0.712227,0.602258,1.0,86.9339,1383.74,20.0,-0.564891
99.9172,20.32,20.0,9.573334855027497,-1.03251,-3.82766,1454,92.8653,3.0396,0.0,60.0,6,85.0561,0.902625,0.00859774,8.11022088676691,15.0,105.473684211,0.262182,0.0163837,100.998,560.0,4.49639855885,-0.00533833,20.32,6873,38.0,94.4654,-0.257861,2.85456,63.2416987863,-0.815666,0.0,0.0224242,190,-0.0515274,0.0558291,20.0,-0.732183,-0.345153,7000,0.0149546,1.04212,-0.994468,0.929565791040659,68.47107829339802,0.994966,1.0,-0.28258,1.0,0.5335481772199273,-0.0194571,0.615034,1.0,87.3466,1720.02,20.0,-0.258887
103.9,5.0,20.0,9.82871001958847,-0.0272816,-0.792579,1626,94.664,1.45218,0.0,60.0,7,90.6941,0.0880404,0.00829014,8.386299604550004,5.0,115.23255814,0.066384,0.00758439,103.911,400.0,0.0,-0.193885,5.0,7873,5.0,95.2452,-0.125994,1.60695,70.1696738343,0.00727379,0.0,-0.185195,172,0.0712008,0.0216265,20.0,0.0401831,-0.163339,8000,0.031653,-0.488276,-0.995222,0.8981870831921697,78.44440836831927,0.990567,1.0,-0.135191,1.0,0.5442233318462968,-0.208995,0.59675,1.0,91.1024,1945.88,20.0,-0.677071
102.392,3.95652173913,20.0,9.798215571790934,-0.287175,-1.13723,1822,96.7498,2.37806,0.0,60.0,8,91.1935,0.24858,0.021964,8.22153546102345,3.0,102.959183673,0.0203263,0.00667482,103.429,400.0,0.203931119992,0.436416,3.95652173913,8873,4.0,97.4515,-0.13461,2.26681,59.9440076097,-0.209247,0.0,0.47335,196,0.0225532,0.0155905,20.0,-0.186101,-0.175921,9000,-0.0108729,-0.121865,-0.988928,1.0430483808740973,88.15582172945142,0.99546,1.0,-0.14021,1.0,0.5336317298933864,0.413767,0.591706,1.0,91.6834,1577.07,20.0,-0.643224
99.9982,12.8846153846,20.0,10.200680655427277,0.438549,-2.09331,2031,98.0234,0.512105,0.0,60.0,9,96.2395,0.544768,0.00331305,8.7194082448259,12.0,95.5980861244,0.0456866,0.00445268,101.325,300.0,0.891279248174,-0.0187247,12.8846153846,9873,15.0,99.0552,-0.206145,0.884374,47.9608212931,0.462266,0.0,-0.00921132,209,-0.0922241,0.0267061,20.0,0.581469,-0.232012,10000,-0.0153391,0.399996,-0.992274,0.9562609577551484,98.32481694314629,0.998141,1.0,-0.211456,1.0,0.5250114528462291,-0.024355,0.612553,1.0,97.3344,1258.91,20.0,-0.530082
