Log Pis Mean,Test Actions Mean,Exploration Returns Max,V Predictions Mean,Test Actions Std,VF Loss,Policy log std Mean,QF Loss,Q Predictions Min,Policy mu Std,Policy mu Min,Test Actions Min,V Predictions Min,Test Rewards Mean,Q Predictions Mean,Test Returns Max,Exploration Rewards Mean,Number of env steps total,Q Predictions Max,Total Train Time (s),Policy log std Std,Number of train steps total,Exploration Rewards Min,Test Returns Std,Policy log std Max,Test Rewards Max,Train Time (s),Q Predictions Std,Exploration Returns Min,Test Returns Min,V Predictions Std,AverageReturn,Policy log std Min,Policy mu Mean,Exploration Rewards Std,Exploration Actions Max,Log Pis Std,Exploration Rewards Max,Test Rewards Std,Exploration Actions Std,Sample Time (s),Test Rewards Min,(Previous) Eval Time (s),V Predictions Max,Exploration Returns Mean,Exploration Returns Std,Log Pis Max,Epoch,Policy mu Max,Epoch Time (s),Test Actions Max,Log Pis Min,Test Returns Mean,Policy Loss,Exploration Actions Mean,Number of rollouts total,Exploration Actions Min,Num Paths
-0.678101,0.974523,1400.0,0.00219844,0.00240099,0.502298,-0.00116826,10001.3,-0.00651468,0.0002005,0.000393233,0.971664,-0.00043742,1.0,-0.00492919,3.0,100.0,1000,-0.00412499,12.833620025776327,7.65948e-05,873,100.0,0.484625611116,-0.00105671,1.0,11.341856482438743,0.000491839,200.0,2.0,0.00144275,2.62303664921,-0.00155481,0.000745743,0.0,0.999247,0.228336,100.0,0.0,0.802289,0.5457370113581419,1.0,0,0.00428649,333.0,178.356384803,-0.267397,0,0.00100942,11.887593493796885,0.977994,-0.917667,2.62303664921,0.507101,-0.233196,300,-0.998253,300
2.3588,-0.935813,800.0,339.397,0.0110863,0.572652,-0.603563,19246.4,207.568,0.0862486,2.11879,-0.951584,267.25,1.0,314.807,3.0,100.0,2000,444.955,24.73567872494459,0.0183333,1873,100.0,0.0,-0.580207,1.0,10.428467202931643,57.0384,200.0,3.0,41.3575,3.0,-0.65283,2.22951,0.0,0.998473,1.27788,100.0,0.0,0.753801,0.5603590877726674,1.0,0.9491286156699061,444.716,321.54340836,99.6078995174,3.72887,1,2.44892,11.937954906374216,-0.925753,-2.68544,3.0,-1.17376,0.335099,611,-0.99709,311
1.26323,0.888469,1400.0,336.995,0.00830756,0.621073,-0.576915,21506.8,306.469,0.135597,-2.07164,0.878516,325.969,1.0,330.319,3.0,100.0,3000,353.479,37.48224828671664,0.0395382,2873,100.0,0.0,-0.529858,1.0,11.25854470860213,13.8412,200.0,3.0,7.23733,3.0,-0.706168,-1.73069,0.0,0.99652,1.26846,100.0,0.0,0.682177,0.5525807356461883,1.0,0.9127950379624963,351.515,362.68115942,158.178214733,2.9988,2,-1.60484,12.723920482210815,0.899316,-4.95605,3.0,0.584347,-0.281145,887,-0.99598,276
1.02757,-0.830965,1600.0,335.499,0.0018859,0.687188,-0.511491,21562.5,294.592,0.146646,1.35668,-0.833724,308.11,1.0,332.087,3.0,100.0,4000,367.951,50.34139479789883,0.0656689,3873,100.0,0.0,-0.4272,1.0,11.373371098190546,16.5146,200.0,3.0,13.3861,3.0,-0.689566,1.48511,0.0,0.994097,0.969383,100.0,0.0,0.749592,0.5703872311860323,1.0,0.9357124026864767,366.476,336.363636364,127.224618132,2.75871,3,2.00244,12.879470732063055,-0.829086,-2.98585,3.0,-0.789086,-0.105451,1184,-0.996852,297
0.216617,0.0134644,1700.0,334.663,0.00313395,2.22846,-0.448018,26200.4,304.795,0.0151829,-1.21914,0.00756616,305.358,1.0,331.51,16.0,100.0,5000,363.866,63.012537682428956,0.0112283,4873,100.0,0.958574621249,-0.422485,1.0,11.283957975916564,13.8313,200.0,13.0,16.3122,14.1971830986,-0.459603,-1.18308,0.0,0.999261,1.15934,100.0,0.0,0.608097,0.5410149712115526,1.0,0.9155794521793723,368.428,442.222222222,254.286705109,1.37891,4,-1.14556,12.74055239930749,0.018138,-3.34707,14.1971830986,-0.00646432,0.261364,1409,-0.998528,225
-0.680518,0.721202,1700.0,337.879,0.00617863,0.548181,-0.116679,23442.9,325.384,0.0226457,0.00960191,0.714612,324.803,1.0,337.899,3.0,100.0,6000,348.284,75.92834562435746,0.0210594,5873,100.0,0.0,-0.0620859,1.0,11.444748795591295,3.05539,200.0,3.0,3.21218,3.0,-0.136382,0.0317637,0.0,0.990604,0.110027,100.0,0.0,0.629106,0.5495954984799027,1.0,0.8464325293898582,349.338,456.363636364,230.425406083,-0.411301,5,0.0900847,12.840776823461056,0.729866,-1.04161,3.0,0.449156,-0.0854283,1629,-0.996758,220
-0.173067,0.7069,1200.0,349.587,0.0136704,0.854696,-0.402976,25488.3,326.732,0.0273628,0.885205,0.692157,330.304,1.0,348.656,3.0,100.0,7000,373.772,88.5625356612727,0.013449,6873,100.0,0.0,-0.375256,1.0,11.13230303209275,11.0623,200.0,3.0,10.057,3.0,-0.425466,0.920883,0.0,0.99558,0.938573,100.0,0.0,0.66525,0.5592867564409971,1.0,0.9222087701782584,372.228,404.453441296,174.080594841,0.987573,6,1.00357,12.613798558712006,0.725795,-3.5498,3.0,0.0273389,-0.043361,1876,-0.998585,247
-0.0627839,-0.756033,1900.0,366.025,0.00842907,1.09129,-0.315686,29586.5,343.584,0.0446135,0.846823,-0.767994,348.903,1.0,363.562,3.0,100.0,8000,384.805,100.49441572278738,0.00943433,7873,100.0,0.0,-0.304464,1.0,10.467463579028845,9.8321,200.0,3.0,8.72821,3.0,-0.350133,0.891702,0.0,0.991575,0.904327,100.0,0.0,0.690279,0.5543696545064449,1.0,0.9425919987261295,384.511,394.488188976,216.742921349,1.07416,7,1.01302,11.96442523226142,-0.746457,-2.68283,3.0,0.0150839,0.0673695,2130,-0.994718,254
0.101835,-0.208965,1500.0,366.458,0.00626482,0.649733,-0.330262,27171.5,350.445,0.0246188,-1.046,-0.221585,352.568,1.0,365.508,5.0,100.0,9000,381.207,112.53833168186247,0.0187209,8873,100.0,0.0,-0.282692,1.0,10.561915067955852,6.78525,200.0,5.0,6.5004,5.0,-0.354876,-1.00142,0.0,0.997906,0.891693,100.0,0.0,0.662613,0.5547224301844835,1.0,0.9102710243314505,379.615,402.024291498,196.826932901,1.15661,8,-0.953266,12.026908522471786,-0.20115,-2.56687,5.0,0.155319,0.0526603,2377,-0.998403,247
-0.616642,-0.419632,1700.0,370.139,0.0120387,0.99506,-0.0941728,28204.0,363.565,0.0238397,-0.267971,-0.441118,364.974,1.0,368.916,4.0,100.0,10000,374.795,125.04831812810153,0.0100384,9873,100.0,0.0,-0.0738883,1.0,11.062042561359704,1.65641,200.0,4.0,1.5779,4.0,-0.114208,-0.20352,0.0,0.996137,0.279309,100.0,0.0,0.633017,0.544872734695673,1.0,0.9275082349777222,375.486,460.273972603,242.366411556,-0.0106301,9,-0.167127,12.534423531033099,-0.408454,-0.915942,4.0,-0.335144,0.0820517,2596,-0.996402,219
