Total Train Time (s),Policy mu Max,Number of train steps total,Log Pis Mean,Policy log std Std,Epoch,Exploration Rewards Std,Test Rewards Min,Test Returns Max,Test Actions Min,Q Predictions Std,Test Actions Mean,V Predictions Min,Exploration Rewards Max,Q Predictions Min,Test Rewards Std,QF Loss,Exploration Returns Std,Policy Loss,VF Loss,Policy mu Mean,Test Returns Mean,Exploration Actions Max,Train Time (s),Exploration Returns Mean,Policy log std Min,Policy log std Max,Exploration Rewards Min,Test Returns Std,Q Predictions Max,Policy log std Mean,Test Actions Std,Test Rewards Mean,Number of rollouts total,Log Pis Std,V Predictions Std,Policy mu Std,Exploration Returns Max,Exploration Returns Min,Log Pis Min,Num Paths,Test Actions Max,Q Predictions Mean,Exploration Actions Mean,Test Returns Min,V Predictions Max,Sample Time (s),Epoch Time (s),Policy mu Min,Number of env steps total,Exploration Actions Std,Log Pis Max,AverageReturn,Exploration Actions Min,Exploration Rewards Mean,Test Rewards Max,V Predictions Mean,(Previous) Eval Time (s)
16.870761026628315,0.000735971,873,-0.682999,0.000157628,0,0.0,1.0,16.0,-0.0265478,0.00046099,-0.0034183,0.00446149,1.0,-0.000147108,0.0,1.00444,3.17626237255,0.508444,0.506287,0.000635606,14.3857142857,0.995479,15.139308899641037,5.26315789474,-0.00116493,-0.000490599,1.0,0.883060540601,0.00204397,-0.000836356,0.0144265,1.0,190,0.210057,0.000139388,5.28734e-05,29.0,3.0,-0.917163,190,0.026185,0.00142211,-0.0178808,13.0,0.0051749,0.6187924481928349,15.758101347833872,0.000542318,1000,0.588926,-0.269552,14.3857142857,-0.993375,1.0,1.0,0.00459641,0
35.27782153803855,0.109927,1873,-0.683265,0.00453087,1,0.0,1.0,29.0,-0.467684,0.77104,-0.0186871,6.46732,1.0,3.72517,0.0,3.99875,5.94970783057,-0.0554404,0.490518,-0.0107554,24.9512195122,0.995749,16.74800938554108,8.4406779661,-0.157119,-0.13013,1.0,2.17470176831,7.46001,-0.139815,0.412122,1.0,308,0.120794,0.212821,0.0692575,36.0,3.0,-1.2541,118,0.442385,6.18944,0.00963892,21.0,7.42518,0.6032058205455542,18.466272432357073,-0.148247,2000,0.581384,-0.381046,24.9512195122,-0.998509,1.0,1.0,6.9517,1.1150572262704372
52.45185818616301,0.530522,2873,-0.435393,0.043971,2,0.0,1.0,34.0,-0.421747,1.87142,-0.025804,7.68209,1.0,2.11923,0.0,5.95871,8.83503757604,0.381554,3.23655,0.0130791,30.4242424242,0.993342,15.456828523427248,13.4459459459,-0.349321,-0.13962,1.0,2.04539842796,14.3879,-0.290784,0.361997,1.0,382,0.515105,0.598028,0.47023,45.0,3.0,-2.62208,74,0.369924,9.31818,0.00614933,27.0,14.0795,0.5868488401174545,17.099760971963406,-0.822634,3000,0.619399,0.723612,30.4242424242,-0.993306,1.0,1.0,9.45469,1.056083608418703
69.5905299577862,0.68835,3873,-0.464036,0.0607053,3,0.0,1.0,55.0,-0.167922,2.06054,-0.0241596,10.7809,1.0,2.39309,0.0,4.98209,14.9122908933,-0.046799,3.75089,0.0303399,46.8181818182,0.995896,15.62598517909646,22.2558139535,-0.342392,-0.143214,1.0,3.93857800408,13.6373,-0.263828,0.0740944,1.0,425,0.603395,0.471489,0.540298,74.0,3.0,-2.57614,43,0.151079,11.1273,-0.00474518,41.0,14.6433,0.5660822102800012,17.323096279986203,-0.820167,4000,0.60525,0.872217,46.8181818182,-0.989932,1.0,1.0,11.8382,1.1310288906097412
86.79327906947583,1.05628,4873,-0.334485,0.0895905,4,0.0,1.0,58.0,-0.119355,3.6114,-0.0297185,11.3763,1.0,0.907421,0.0,7.3726,18.2688047884,0.340285,8.75721,0.0183492,54.8947368421,0.984834,15.582984254695475,28.4722222222,-0.465405,-0.179787,1.0,1.55240854776,19.5175,-0.352518,0.0309105,1.0,461,0.669883,0.881132,0.660394,62.0,3.0,-2.97794,36,0.175812,12.434,-0.00133777,51.0,18.9362,0.5675125326961279,17.096672035753727,-1.15062,5000,0.604244,1.14844,54.8947368421,-0.98636,1.0,1.0,13.7246,0.946175248362124
104.0958297336474,1.03825,5873,-0.374835,0.056552,5,0.0,1.0,73.0,-0.80175,2.97106,-0.0295445,13.1927,1.0,1.13278,0.0,3.80997,21.5744381619,0.222347,5.08035,-0.0991935,69.8,0.992538,15.670032693073153,30.2424242424,-0.469632,-0.190989,1.0,1.97315314493,19.8533,-0.374471,0.0791248,1.0,494,0.624602,0.699473,0.581613,82.0,3.0,-3.25986,33,0.147804,15.3597,-0.00747585,66.0,19.2558,0.5683737816289067,17.291083156131208,-1.13135,6000,0.617317,1.14381,69.8,-0.99482,1.0,1.0,15.7671,1.0526766814291477
121.93061370123178,1.84008,6873,-0.285477,0.0997672,6,0.0,1.0,112.0,-0.0606554,4.28466,0.0197673,15.2282,1.0,0.107675,0.0,5.79624,24.6416289345,1.29169,13.8572,-0.0266937,107.3,0.996969,16.232589967548847,37.1111111111,-0.486456,-0.0503982,1.0,3.0347981811,20.6017,-0.270404,0.0805994,1.0,521,0.823994,0.851366,0.736369,92.0,5.0,-3.33927,27,0.851001,16.5716,-0.00842315,102.0,20.4588,0.5691588697955012,17.8662289949134,-1.57342,7000,0.621852,2.62004,107.3,-0.996149,1.0,1.0,17.5376,1.0644801575690508
139.0603232914582,1.31724,7873,-0.409986,0.125276,7,0.0,1.0,84.0,-0.803261,3.09416,-0.0237013,17.0658,1.0,1.20313,0.0,3.99408,21.7714389868,1.03914,5.03419,-0.196462,80.9230769231,0.986624,15.615092566236854,33.2666666667,-0.655537,-0.0248249,1.0,1.81707874016,22.6811,-0.267617,0.0716958,1.0,551,0.709576,0.951196,0.538361,84.0,3.0,-2.97564,30,0.113631,19.0165,-0.00702161,79.0,23.4254,0.5640801908448339,17.211934430524707,-1.448,8000,0.631921,1.84008,80.9230769231,-0.993654,1.0,1.0,19.505,1.0327616734430194
161.99148922320455,1.55074,8873,-0.219499,0.163933,8,0.0,1.0,94.0,-0.086633,4.54324,0.0278502,18.0591,1.0,0.491368,0.0,7.36979,23.1925388986,1.94509,11.3422,-0.080658,91.8181818182,0.994959,21.256729133427143,33.0967741935,-0.840671,-0.161358,1.0,1.64140637139,24.3461,-0.374247,0.113529,1.0,582,0.80751,1.05745,0.725979,81.0,4.0,-2.3007,31,0.906219,19.7686,-0.00991712,89.0,23.7426,0.6469783680513501,22.8548791622743,-1.94046,9000,0.637238,2.02533,91.8181818182,-0.996711,1.0,1.0,20.8543,0.9511716607958078
180.19008475728333,1.51221,9873,-0.322162,0.177968,9,0.0,1.0,75.0,-0.842829,4.74652,-0.030191,18.8617,1.0,-1.03766,0.0,5.93484,28.7684189375,1.9245,17.9486,0.0241838,74.0,0.989864,16.605367380194366,42.1739130435,-0.793302,-0.131881,1.0,0.845154254729,26.18,-0.311399,0.101245,1.0,605,0.768896,1.35198,0.671181,98.0,6.0,-2.72306,23,0.124568,21.8436,-0.00860607,72.0,26.3232,0.5766692673787475,18.20965937152505,-1.75528,10000,0.632278,2.17236,74.0,-0.994704,1.0,1.0,22.8026,1.0276227239519358
