QF Loss,Policy log std Min,Exploration Rewards Mean,Test Actions Mean,Policy mu Min,V Predictions Min,Policy mu Std,Q Predictions Min,VF Loss,Test Actions Std,Exploration Actions Max,Q Predictions Std,Log Pis Std,Policy mu Max,Exploration Returns Min,Exploration Returns Std,Sample Time (s),Test Returns Mean,Policy Loss,Test Rewards Mean,Exploration Actions Mean,Q Predictions Mean,Policy log std Std,Log Pis Mean,Exploration Returns Mean,Epoch Time (s),Test Returns Max,Q Predictions Max,V Predictions Std,Number of rollouts total,Test Returns Min,Exploration Rewards Max,Exploration Rewards Std,Policy mu Mean,V Predictions Mean,Total Train Time (s),Test Rewards Max,Test Returns Std,Number of train steps total,Num Paths,(Previous) Eval Time (s),Policy log std Max,Exploration Returns Max,Number of env steps total,Test Rewards Min,Test Actions Min,Test Actions Max,Log Pis Max,Epoch,Log Pis Min,Policy log std Mean,AverageReturn,Exploration Actions Min,Exploration Rewards Min,V Predictions Max,Train Time (s),Test Rewards Std,Exploration Actions Std
1.00025,-0.00102899,1.0,-0.0164658,-0.00141301,-0.00227299,0.000405923,-0.00250713,0.474854,0.418891,0.990312,0.00101134,0.200563,4.59372e-05,3.0,8.19617811179,0.4977421499788761,50.55,0.474769,1.0,0.00292875,-0.000940862,0.000149004,-0.659137,9.61764705882,28.84667086787522,75.0,0.00190125,0.000607922,102,42.0,1.0,0.0,-0.000506596,-0.00107988,29.69572228193283,1.0,7.80048075442,3492,102,0,-0.000380319,39.0,1000,1.0,-0.477188,0.480227,-0.267794,0,-0.91852,-0.000710929,50.55,-0.994182,1.0,-6.26053e-05,28.348928717896342,0.0,0.604912
6.4504,-0.590344,1.0,0.0362634,-1.53418,13.5545,0.731127,0.574121,8.17954,0.0537173,0.994863,3.38758,0.762879,1.01987,3.0,25.4124596104,0.5171977579593658,48.4761904762,0.981035,1.0,0.00252588,13.7394,0.0805543,-0.247023,34.0,33.246571972966194,50.0,16.861,0.300483,131,47.0,1.0,0.0,0.0699761,14.4461,62.955892549827695,1.0,1.05193914449,7492,29,0.8515202673152089,-0.207716,102.0,2000,1.0,-0.336813,0.15901,1.87621,1,-2.42639,-0.35285,48.4761904762,-0.987806,1.0,15.497,31.87785394769162,0.0,0.611464
7.72633,-0.709773,1.0,0.0559151,-1.71132,21.6577,0.644895,-1.91878,14.48,0.130989,0.994359,4.38856,0.802774,1.45385,5.0,18.2909813843,0.513626592233777,43.6956521739,1.31017,1.0,0.0216537,21.96,0.113412,-0.233102,29.2,32.45751100499183,44.0,25.9677,0.52716,166,43.0,1.0,0.0,-0.364125,22.9043,95.44829120673239,1.0,0.460130662794,11492,35,0.8654458438977599,-0.204485,79.0,3000,1.0,-0.360579,0.915354,2.07081,2,-2.58567,-0.382033,43.6956521739,-0.996898,1.0,24.4978,31.078438568860292,0.0,0.619113
3.8905,-1.38053,1.0,0.0683313,-2.56016,16.2304,0.841336,-1.29387,25.7239,0.131749,0.996087,6.18546,0.955666,2.16426,3.0,14.5179249422,0.5312218107283115,40.32,3.38323,1.0,0.0299125,26.3118,0.293384,-0.0633134,22.6590909091,35.760497936978936,41.0,35.3906,2.61278,210,40.0,1.0,0.0,-0.159612,28.031,131.19171092286706,1.0,0.466476151588,15492,44,0.9005514923483133,-0.046248,50.0,4000,1.0,-0.25602,0.977584,3.33146,3,-1.44364,-0.417329,40.32,-0.997839,1.0,34.2704,34.32872463390231,0.0,0.628396
8.81694,-1.41152,1.0,0.0736483,-2.87248,12.2033,0.883894,-4.91208,42.442,0.189528,0.997981,7.44403,1.22435,2.4064,22.0,9.15027321996,0.5676685106009245,48.4761904762,5.79549,1.0,0.0518797,27.1351,0.2818,-0.103425,50.65,37.877722832374275,49.0,42.4342,3.93216,230,47.0,1.0,0.0,-0.211468,28.456,169.07157658971846,1.0,0.587087047902,19492,20,0.88356695137918,-0.0905033,68.0,5000,1.0,-0.1893,0.98147,4.33983,4,-2.16491,-0.442533,48.4761904762,-0.9752,1.0,41.0524,36.42648737039417,0.0,0.439932
18.7403,-2.10499,1.0,-8.46285e-05,-3.17138,-2.90651,1.02802,-3.48757,35.6129,0.00606538,0.983573,15.8018,1.05751,2.70089,50.0,92.9856619772,0.49963916186243296,999.0,1.74404,1.0,-0.00273461,42.9256,0.386882,0.878902,149.0,33.39844881463796,999.0,68.624,11.958,236,999.0,1.0,0.0,-0.161817,46.1054,202.82023889571428,1.0,0.0,23492,6,0.885895723477006,-0.526534,317.0,6000,1.0,-0.0215558,0.111712,4.36286,5,-2.36427,-1.52179,999.0,-0.997562,1.0,70.3974,32.01291392929852,0.0,0.283329
37.1438,-1.98812,1.0,-0.101078,-2.03998,17.7121,0.88844,-2.81781,19.8051,0.249434,0.95851,26.0694,1.03579,3.20426,40.0,65.8830801262,0.4872302543371916,39.9230769231,0.605234,1.0,-0.06434,72.3284,0.33229,0.269261,61.4444444444,32.67784782219678,40.0,143.758,21.9236,254,39.0,1.0,0.0,0.277954,75.58,235.15136255789548,1.0,0.266469355011,27492,18,1.2367478972300887,-0.406021,332.0,7000,1.0,-0.997592,0.578339,3.86102,6,-3.4941,-1.04476,39.9230769231,-0.999544,1.0,145.047,30.9538696706295,0.0,0.346375
108.329,-2.47642,1.0,-0.1085,-2.48397,23.0884,0.745462,4.70281,26.8394,0.259095,0.734484,24.3459,1.11638,2.52287,37.0,1.24963994815,0.5155394189059734,40.0,2.05515,1.0,-0.101707,87.2452,0.516009,0.507949,38.72,33.06112660840154,40.0,130.751,20.7615,279,40.0,1.0,0.0,0.55435,91.9715,268.2680268762633,1.0,0.0,31492,25,0.8897909251973033,-0.59463,42.0,8000,1.0,-0.998449,0.511194,3.72094,7,-4.42791,-1.30142,40.0,-0.999958,1.0,136.492,31.65579626429826,0.0,0.314136
244.561,-2.58931,1.0,0.0962475,-2.51566,53.7899,0.857444,4.45116,28.5685,0.220336,0.998726,28.0029,1.04803,2.95545,36.0,32.0189006682,0.49081141222268343,36.3928571429,2.18228,1.0,-0.0181527,122.355,0.664438,0.779174,50.3,32.63821031525731,37.0,172.62,23.8302,299,36.0,1.0,0.0,0.382732,127.885,300.89419620204717,1.0,0.488385511828,35492,20,0.9458065833896399,-0.555902,188.0,9000,1.0,-0.438413,0.997969,4.794,8,-3.07144,-1.52613,36.3928571429,-0.999898,1.0,184.182,31.201592319644988,0.0,0.403143
225.925,-2.85853,1.0,0.119107,-2.88114,-21.4246,0.840563,-7.68426,26.3417,0.236672,0.999903,39.5347,1.27866,3.30783,12.0,4.27148165811,0.511429107747972,33.0,-0.631632,1.0,0.11266,111.246,0.458691,0.793458,33.7666666667,32.843901299871504,33.0,190.272,37.9105,329,33.0,1.0,0.0,-0.245031,114.781,333.69960035197437,1.0,0.0,39492,30,0.9340617200359702,0.430703,38.0,10000,1.0,-0.53798,0.997863,6.76362,9,-2.36871,-1.64158,33.0,-0.816645,1.0,216.505,31.398410472087562,0.0,0.408326
