Log Pis Min,Test Returns Mean,Test Rewards Min,Policy mu Std,VF Loss,Exploration Actions Max,V Predictions Mean,Log Pis Std,Test Actions Min,Policy mu Max,Policy log std Mean,Log Pis Mean,Test Actions Mean,Policy log std Std,Test Rewards Std,Epoch Time (s),Exploration Returns Mean,AverageReturn,Exploration Rewards Max,Epoch,Exploration Actions Min,Test Actions Max,Q Predictions Max,Train Time (s),Exploration Returns Min,Q Predictions Min,Exploration Actions Std,Exploration Actions Mean,Number of env steps total,Test Returns Std,Exploration Returns Std,Policy mu Min,Q Predictions Mean,V Predictions Std,Q Predictions Std,Policy Loss,Test Rewards Max,Total Train Time (s),Test Actions Std,V Predictions Max,Num Paths,Test Returns Max,Number of rollouts total,Test Rewards Mean,Exploration Rewards Std,Exploration Rewards Min,V Predictions Min,Policy log std Min,Policy log std Max,Policy mu Mean,Number of train steps total,(Previous) Eval Time (s),Log Pis Max,Sample Time (s),Test Returns Min,Exploration Returns Max,Exploration Rewards Mean,QF Loss
-0.919927,42.3333333333,1.0,0.000161597,0.492846,0.993016,-0.000147764,0.223603,-0.0609621,-0.000273651,0.000924312,-0.667022,-0.00408434,0.00017176,0.0,347.61332070361823,5.97604790419,42.3333333333,1.0,0,-0.98621,0.0612119,-0.000652405,339.5766093004495,2.0,-0.00263719,0.596772,0.0188892,1000,6.02540916084,3.57796331824,-0.000941322,-0.00168443,0.000772582,0.000541074,0.493879,1.0,352.48279440868646,0.0205218,0.00156506,167,59.0,167,1.0,0.0,1.0,-0.00148141,0.000743553,0.00169255,-0.000489837,873,0,-0.263083,8.036711403168738,35.0,23.0,1.0,1.00308
-2.07643,52.15,1.0,0.189186,1.29576,0.994479,7.45038,0.245315,-0.388452,0.253757,-0.183961,-0.66788,0.00156822,0.0165716,0.0,403.9906153427437,8.36974789916,52.15,1.0,1,-0.991536,0.378291,8.03401,389.5762644885108,3.0,3.3303,0.58775,-0.0173431,2000,13.4769247234,7.15831249329,-0.414846,6.6815,0.157709,1.17173,-0.0271871,1.0,759.5664989128709,0.320239,7.82103,119,77.0,286,1.0,0.0,1.0,7.06514,-0.256477,-0.167139,-0.0301428,1873,4.8780273562297225,-0.139992,9.536323498003185,35.0,41.0,1.0,4.13639
-2.42186,52.9,1.0,0.377036,4.47473,0.99533,10.0374,0.451426,-0.401062,0.438866,-0.220729,-0.524053,-0.0135394,0.0564061,0.0,403.81965360045433,16.7666666667,52.9,1.0,2,-0.981405,0.415701,11.9314,386.12092308327556,3.0,2.10697,0.602438,-0.0134943,3000,8.15414005276,12.499822221,-0.542073,9.6141,0.360394,2.1563,0.134361,1.0,1163.194703105837,0.346187,12.4261,60,71.0,346,1.0,0.0,1.0,9.19872,-0.28976,-0.0925577,0.00814361,2873,7.962496786378324,0.400072,9.73623373080045,41.0,72.0,1.0,7.36533
-2.57678,56.3888888889,1.0,0.723596,6.67921,0.996443,12.0614,0.75565,-0.256488,0.844115,-0.34627,-0.326139,-0.0215337,0.0522211,0.0,401.74991834536195,21.8636363636,56.3888888889,1.0,3,-0.996563,0.21817,15.1058,384.6571728885174,3.0,0.0710728,0.613634,-0.00614525,4000,3.03935097035,11.883125754,-1.43219,11.2353,0.273255,2.89808,0.569798,1.0,1564.6561652105302,0.185389,13.2939,44,62.0,390,1.0,0.0,1.0,11.2673,-0.434191,-0.248236,-0.0119992,3873,7.778804002329707,1.25083,9.313941454514861,50.0,47.0,1.0,6.17614
-2.0161,78.9230769231,1.0,0.722416,11.4861,0.984285,14.6208,0.660539,-0.0748028,1.24665,-0.385307,-0.205852,0.0211509,0.0747183,0.0,402.25544657278806,29.2,78.9230769231,1.0,4,-0.996412,0.0860167,17.233,385.7518425974995,3.0,-0.18787,0.599487,-0.00556929,5000,7.02152228138,19.8879719572,-1.28925,13.5625,0.309304,3.54115,0.832961,1.0,1967.768975856714,0.0223772,15.7537,35,94.0,425,1.0,0.0,1.0,13.7791,-0.496722,-0.201389,0.0298517,4873,7.489821531809866,1.71642,9.013782443478703,70.0,82.0,1.0,6.4102
-2.43812,89.3333333333,1.0,0.660051,8.73645,0.985259,16.9917,0.727397,-0.0730429,1.27176,-0.268647,-0.265743,0.0194306,0.0555132,0.0,404.75037621241063,24.875,89.3333333333,1.0,5,-0.996132,0.518351,18.9489,387.0554414689541,3.0,-0.0963502,0.613907,0.00374309,6000,4.73168985553,16.3633546377,-1.8271,16.3449,0.296481,3.2911,1.11779,1.0,2372.2044998900965,0.0416609,17.7401,40,103.0,465,1.0,0.0,1.0,16.2763,-0.482466,-0.132036,-0.0290883,5873,8.352247344329953,2.25226,9.34268739912659,85.0,62.0,1.0,3.69932
-2.47261,87.0,1.0,0.648895,20.6616,0.992817,18.7405,0.805604,-0.940003,1.31232,-0.362722,-0.382713,-0.0269059,0.154308,0.0,404.0031622638926,29.2941176471,87.0,1.0,6,-0.989175,0.0914858,20.4962,386.6717629181221,3.0,0.0255166,0.646027,0.00171186,7000,2.44948974278,19.6371937191,-1.97055,17.8544,0.430422,4.22534,2.31545,1.0,2776.235573867336,0.0958804,19.8547,34,90.0,499,1.0,0.0,1.0,17.5267,-0.991606,-0.17,-0.0627855,6873,8.023702410049736,2.75192,9.307696935720742,83.0,70.0,1.0,4.39046
-2.47529,135.25,1.0,0.704471,20.4226,0.993198,20.5296,0.837591,-0.843013,1.52895,-0.359176,-0.272872,-0.0147433,0.225212,0.0,401.7696246281266,22.8636363636,135.25,1.0,7,-0.99676,0.0479837,22.0435,384.47438614536077,3.0,-0.512791,0.641991,-0.0109907,8000,8.54034542627,17.3199712748,-2.00652,19.0866,0.531245,5.00844,2.45396,1.0,3177.409270972945,0.0628795,21.7815,44,151.0,543,1.0,0.0,1.0,19.1843,-1.11679,-0.102189,-0.0280496,7873,8.054348649457097,2.47663,9.240889833308756,126.0,74.0,1.0,4.40003
-3.16354,90.25,1.0,0.58826,21.4197,0.992035,21.6769,0.727291,-0.0665066,1.44274,-0.309846,-0.445376,0.0219668,0.210352,0.0,401.8395658088848,18.0178571429,90.25,1.0,8,-0.989096,0.75551,23.6918,385.10728475265205,3.0,-2.58498,0.665834,0.00427708,9000,1.42156017577,17.3189523267,-1.61685,20.9052,0.625732,5.24778,1.73337,1.0,3579.336220371537,0.0768124,22.9126,56,93.0,599,1.0,0.0,1.0,20.0741,-0.983469,-0.0814622,-0.0205608,8873,7.477321110665798,2.15077,9.254959945566952,88.0,84.0,1.0,2.53453
-5.06755,58.2777777778,1.0,0.623789,21.0189,0.998196,23.4044,0.832202,-0.151616,1.61873,-0.331418,-0.294729,0.0385117,0.2187,0.0,406.6755714621395,25.05,58.2777777778,1.0,9,-0.99512,0.876584,25.106,389.4279809156433,3.0,0.318389,0.646163,0.0128018,10000,0.650261106151,15.8649771509,-1.49592,21.8042,0.715127,4.88394,1.14343,1.0,3985.7795347003266,0.127168,25.2592,40,59.0,639,1.0,0.0,1.0,19.6602,-1.05008,-0.0974463,0.0513224,9873,7.544947217218578,2.0087,9.702643329277635,57.0,62.0,1.0,3.97754
-2.57226,999.0,1.0,0.598701,14.5749,0.999456,23.4807,0.743278,-0.0564787,1.82087,-0.296753,-0.323237,-2.36159e-05,0.253156,0.0,403.2290743114427,21.8043478261,999.0,1.0,10,-0.99288,0.055551,26.1445,386.8073039287701,3.0,0.969724,0.668803,0.00107957,11000,0.0,17.6728969172,-1.78548,22.7757,0.833089,4.86907,1.86262,1.0,4394.5007467838,0.0137083,25.3294,46,999.0,685,1.0,0.0,1.0,20.5577,-1.30381,-0.10004,-0.160846,10873,7.336455296725035,2.57369,9.085315085947514,999.0,78.0,1.0,4.47454
-4.04848,80.0,1.0,0.80945,23.5637,0.999579,23.3113,1.09887,-0.0809946,2.8877,-0.32053,-0.320491,0.0317806,0.25829,0.0,405.1756703676656,21.9777777778,80.0,1.0,11,-0.995709,0.939332,26.0901,383.2868291242048,3.0,-5.42851,0.650091,0.00554703,12000,0.554700196225,21.0116252361,-2.34314,21.877,0.965517,5.59296,3.05831,1.0,4795.375778426416,0.124966,27.6998,45,81.0,730,1.0,0.0,1.0,20.1957,-1.24931,-0.117142,-0.00238444,11873,12.807324822992086,3.9384,9.081516420468688,79.0,94.0,1.0,10.5762
-1.93905,55.2105263158,1.0,0.746067,30.5032,0.99653,23.5375,1.14831,-0.929556,3.41834,-0.235893,-0.250735,-0.0400741,0.247661,0.0,406.15446128789335,19.4705882353,55.2105263158,1.0,12,-0.991368,0.0885874,25.7882,388.3336131265387,3.0,-2.81723,0.670926,0.00234251,13000,0.521026049295,16.4559458724,-2.19978,23.0338,0.740763,5.15228,5.09878,1.0,5202.272559306584,0.121863,25.7729,51,56.0,781,1.0,0.0,1.0,21.8109,-1.52285,-0.0820775,-0.074529,12873,8.505037969909608,5.99321,9.315810191445053,54.0,71.0,1.0,1.22794
